nombre1,rho7,ia14,producto,nombre2,Latitud,Longitud,Texto
RiesgoAvellanedaNA,1.75541264592289,239.62378504568,420.639,RiesgoAvellanedaNA,-34.676135,-58.353813,"Avellaneda"
RiesgoBariloche,1.21130952380952,63.37322407593,76.7646,RiesgoBariloche,-41.14436,-71.31021, "Bariloche"
RiesgoBuenosAires,1.5026656486985,119.051548585123,178.895,RiesgoBuenosAires,-36.15563,-59.67701,"Provincia de Buenos Aires"
RiesgoCABACABANA,1.76068996861443,164.973472239653,290.467,RiesgoCABACABANA,-34.59906,-58.44934, "CABA"
RiesgoCABACOMUNA1,1.92631286026635,53.0410873422905,102.174,RiesgoCABACOMUNA1,-34.596522,-58.372775,"CABA COMUNA1"
RiesgoCABACOMUNA3,2.12147696476965,77.0918272315238,163.549,RiesgoCABACOMUNA3,-34.613632,-58.402683,"CABA COMUNA3"
RiesgoCABACOMUNA4,1.35262339586593,221.574344023324,299.707,RiesgoCABACOMUNA4,-34.641472,-58.389063,"CABA COMUNA4"
RiesgoCABACOMUNA7,1.62615592184563,117.009356613923,190.275,RiesgoCABACOMUNA7,-34.635997,-58.451892,"CABA COMUNA7"
RiesgoCABACOMUNA8,0.822574788564522,280.843666604063,231.015,RiesgoCABACOMUNA8,-34.676444,-58.477528,"CABA COMUNA8"
RiesgoCABASINESPECIFICAR,2.02064632849806,1385.5,2799.61,RiesgoCABASINESPECIFICAR,-34.655537,-58.436866,"SIN ESPECIFICAR"
RiesgoChacoNA,1.82797187949704,56.037943083714,102.436,RiesgoChacoNA,-26.49039,-60.60428,"Provincia de Chaco"
RiesgoGeneralRoca,0.828026427962489,24.0381369093438,19.9042,RiesgoGeneralRoca,-39.02549,-67.57987,"General Roca"
RiesgoLaMatanza,1.89143300318872,93.0214615679333,175.944,RiesgoLaMatanza,-34.762205,-58.626420,"La Matanza"
RiesgoLanúsNA,1.59219155231046,183.653935487774,292.412,RiesgoLanúsNA,-34.718193,-58.393824,"Lanús"
RiesgoLaPlata,0.929148912331035,156.314124157676,145.239,RiesgoLaPlata,-34.914652,-57.952126,"La Plata"
RiesgoLomasde,1.38642452032933,191.882920569109,266.031,RiesgoLomasde,-34.763051,-58.383970,"Lomas de Zamora"
RiesgoQuilmesNA,1.91317847908849,146.213125185211,279.732,RiesgoQuilmesNA,-34.738509,-58.274411,"Quilmes"
RiesgoRioNegro,0.899100899100899,36.2488463236179,32.5914,RiesgoRioNegro,-40.03166,-67.67322,"Provincia de Rio Negro"
RiesgoSanFernando,1.84043218812327,106.85836409559,196.666,RiesgoSanFernando,-27.74898,-59.01236,"San Fernando Chaco"
